governorate,year,production,surface,yield,Temperature_C,Precipitation_mm,Soil_Moisture_Vol,Precipitation_CHIRPS,Autumn,Spring,Summer,Winter,ndvi_imputed_flag,production_lag1,production_lag2,production_lag3,prod_roll2_mean,prod_roll3_mean,prod_growth_lag1,surface_lag1,surface_change_ratio,ndvi_peak,ndvi_min,ndvi_amplitude,ndvi_spring_summer_diff,ndvi_winter_spring_diff,ndvi_mean,rain_temp_interaction,chirps_temp_interaction,moisture_temp_interaction,year_index,is_small_producer
sfax,2023,700.0,315500.0,0.0022,20.708282,248.93176,0.06357275,202.73038,0.1571295218242352,0.1669154065259742,0.1613647469615671,0.1643941947409528,0,2200.0,3600.0,2100.0,2900.0,2633.3333333333335,0.6111111111111112,315500.0,1.0,0.1669154065259742,0.1571295218242352,0.009785884701738995,0.00555065956440709,-0.0025212117850214044,0.16245096751318233,5154.94908483632,4198.19787900716,1.3164824345155,17,1
sidi bouzid,2007,124000.0,163000.0,0.7607,18.54248,862.8394,0.1198306,221.01337,0.24699268033724006,0.3454556133628448,0.20802449563169245,0.33790526793541553,1,86200.0,94300.0,91000.0,100230.0,95176.66666666667,0.9547072966946683,160000.0,1.01875,0.3454556133628448,0.20802449563169245,0.13743111773115235,0.13743111773115235,-0.0075503454274292725,0.2845945143167982,15999.182317712,4098.1359929576,2.2219565038880003,1,0
sidi bouzid,2008,116000.0,165500.0,0.7009,18.630035,695.4395,0.122429885,157.62212,0.2559861897829446,0.2507188591935963,0.1857154180070959,0.2903490390642113,1,124000.0,86200.0,91000.0,105100.0,95176.66666666667,1.4385150812064966,163000.0,1.0153374233128833,0.2903490390642113,0.1857154180070959,0.10463362105711538,0.06500344118650042,0.03963017987061496,0.24569237651196202,12956.062225382499,2936.5056123741997,2.280873042595975,2,0
sidi bouzid,2009,51000.0,168360.0,0.3029,18.381683,1155.2402,0.1381724,289.3955,0.2851031539670154,0.3455283956901051,0.208111742575936,0.29874394420359773,1,116000.0,124000.0,86200.0,120000.0,108733.33333333333,0.9354838709677419,165500.0,1.0172809667673717,0.3455283956901051,0.208111742575936,0.13741665311416906,0.13741665311416906,-0.04678445148650734,0.28437180910916354,21235.259145256598,5319.5763426265,2.5398412561491996,3,0
sidi bouzid,2010,97600.0,201550.0,0.4842,18.951233,751.0413,0.11898153,223.4375,0.2510974799052589,0.22721921800795963,0.18598948468056048,0.26791821407999883,1,51000.0,116000.0,124000.0,83500.0,97000.0,0.4396551724137931,168360.0,1.1971370871941078,0.26791821407999883,0.18598948468056048,0.08192872939943835,0.041229733327399154,0.040698996072039195,0.23305609916844447,14233.158668922899,4234.4161234375,2.25484669772649,4,0
sidi bouzid,2011,83000.0,207160.0,0.4007,18.31131,869.78406,0.12877138,179.4975,0.23909647462368944,0.3023983632827796,0.21309833603930964,0.31530142368448244,1,97600.0,51000.0,116000.0,74300.0,88200.0,1.9137254901960785,201550.0,1.0278342842967005,0.31530142368448244,0.21309833603930964,0.1022030876451728,0.08930002724346994,0.01290306040170286,0.26747364940756524,15926.885555718598,3286.8343667249997,2.3579726583077996,5,0
sidi bouzid,2012,91000.0,209500.0,0.4344,19.085815,754.3194,0.119608425,192.2195,0.2436681357603928,0.3260805829784421,0.20303764508312744,0.31789412378693327,1,83000.0,97600.0,51000.0,90300.0,77200.0,0.8504098360655737,207160.0,1.0112956169144622,0.3260805829784421,0.20303764508312744,0.12304293789531467,0.12304293789531467,-0.008186459191508844,0.27267012190222395,14396.800519311,3668.6658163925003,2.282824271991375,6,0
sidi bouzid,2013,60000.0,212500.0,0.2824,18.743896,844.0508,0.11423568,237.9529,0.25271162600975006,0.2120903833726237,0.18418384814602357,0.24076649020731425,1,91000.0,83000.0,97600.0,87000.0,90533.33333333333,1.0963855421686748,209500.0,1.0143198090692125,0.25271162600975006,0.18418384814602357,0.06852777786372649,0.027906535226600138,0.028676106834690546,0.2224380869339279,15820.800413916799,4460.1644104984,2.14122170540928,7,0
sidi bouzid,2014,38500.0,220170.0,0.1749,19.145996,802.6233,0.12505633,186.9178,0.23910260672698036,0.3376936073563859,0.20174466201829033,0.2994953920936337,1,60000.0,91000.0,83000.0,75500.0,78000.0,0.6593406593406593,212500.0,1.0360941176470588,0.3376936073563859,0.20174466201829033,0.1359489453380956,0.1359489453380956,-0.038198215262752244,0.2695090670488226,15367.0224913068,3578.7274511288,2.39432799395468,8,0
sidi bouzid,2015,177000.0,238170.0,0.7432,18.841034,727.9539,0.11848297,189.64957,0.2480420626420598,0.2777098572636589,0.1987920051107332,0.271927151965773,1,38500.0,60000.0,91000.0,49250.0,63166.666666666664,0.6416666666666667,220170.0,1.081755007494209,0.2777098572636589,0.1987920051107332,0.07891785215292568,0.07891785215292568,-0.005782705297885882,0.24911776924555623,13715.4041803326,3573.1939964553803,2.23234166619098,9,0
sidi bouzid,2016,70030.0,248500.0,0.2818,19.58725,755.15247,0.119580984,224.35977,0.24915876903095815,0.2361900591193229,0.1814746172293572,0.28802840390687795,1,177000.0,38500.0,60000.0,107750.0,91833.33333333333,4.597402597402597,238170.0,1.0433723810723432,0.28802840390687795,0.1814746172293572,0.10655378667752075,0.05471544188996569,0.05183834478755506,0.23871296232162903,14791.360218007501,4394.5909049325,2.3422626288540003,10,0
sidi bouzid,2017,62540.0,254500.0,0.2457,18.785004,588.2792,0.12126733,159.68604,0.2516689638871825,0.3265327849035541,0.2044909155158578,0.3587862573121971,1,70030.0,177000.0,38500.0,123515.0,95176.66666666667,0.3956497175141243,248500.0,1.0241448692152917,0.3587862573121971,0.2044909155158578,0.1542953417963393,0.12204186938769629,0.032253472408643014,0.2853697304046979,11050.827125116799,2999.70290014416,2.27800727911932,11,0
sidi bouzid,2018,128180.0,254500.0,0.5037,19.03241,871.87964,0.11854309,231.44383,0.3113221571074317,0.24111182747657472,0.20597849832591364,0.2991124501209228,1,62540.0,70030.0,177000.0,66285.0,103190.0,0.8930458374982151,254500.0,1.0,0.3113221571074317,0.20597849832591364,0.10534365878151808,0.035133329150661086,0.05800062264434808,0.2643812332577107,16593.9707791324,4404.9338645303,2.2561606915469,12,0
sidi bouzid,2019,124838.44,254500.0,0.4905,18.97464,736.9452,0.11927881,209.30125,0.2980450983368227,0.326041345284914,0.21831979292658024,0.3104375531744935,1,128180.0,62540.0,70030.0,95360.0,86916.66666666667,2.049568276303166,254500.0,1.0,0.326041345284914,0.21831979292658024,0.10772155235833378,0.10772155235833378,-0.015603792110420511,0.28821094743070264,13983.269869728001,3971.4158703000003,2.2632724793784003,13,0
sidi bouzid,2020,165762.01,254500.0,0.6513,19.265167,858.56305,0.12179311,208.17813,0.2916791624671776,0.29126330721542054,0.2117287291272528,0.34997760549560686,1,124838.44,128180.0,62540.0,126509.22,105186.14666666667,0.9739307224215946,254500.0,1.0,0.34997760549560686,0.2117287291272528,0.13824887636835406,0.07953457808816775,0.05871429828018632,0.2861622010763645,16540.36053827935,4010.5864401977105,2.34636460359937,14,0
sidi bouzid,2021,285373.0,254500.0,1.1213,19.9245,360.34406,0.09556439,124.18002,0.2262423578697051,0.27600265476705754,0.2062286958958121,0.3226269247326289,1,165762.01,124838.44,128180.0,145300.225,139593.48333333334,1.3278122507778856,254500.0,1.0,0.3226269247326289,0.2062286958958121,0.11639822883681678,0.06977395887124543,0.04662426996557134,0.2577751583163009,7179.67522347,2474.2248084899998,1.904072688555,15,0
sidi bouzid,2022,151589.73,254500.0,0.5956,20.11969,405.01883,0.10125081,155.11716,0.2245982662225602,0.27317492216800116,0.20073497873287627,0.246349128156296,1,285373.0,165762.01,124838.44,225567.505,191991.15,1.7215826473146651,254500.0,1.0,0.27317492216800116,0.20073497873287627,0.07243994343512489,0.07243994343512489,-0.02682579401170515,0.2362143238199334,8148.853303762699,3120.9091728804,2.0371349094488997,16,0
sidi bouzid,2023,141507.92,254500.0,0.556,19.993713,308.81686,0.10585276,169.08716,0.2046793299377806,0.24745317073561524,0.2216326661638126,0.24085285113277194,1,151589.73,285373.0,165762.01,218481.365,200908.24666666667,0.5311985716938884,254500.0,1.0,0.24745317073561524,0.2046793299377806,0.04277384079783464,0.025820504571802627,-0.0066003196028432964,0.2286545044924951,6174.39566840118,3380.68014902508,2.11638970369788,17,0
siliana,2007,14000.0,49040.0,0.2855,16.408386,1122.7806,0.22916706,496.30087,0.2815054321886103,0.5134764984013374,0.2327125882347536,0.4154795298144713,0,77300.0,40787.5,40230.0,36026.25,37445.0,0.9407575445172147,47820.0,1.0255123379339188,0.5134764984013374,0.2327125882347536,0.28076391016658375,0.28076391016658375,-0.09799696858686607,0.36079351215979316,18423.0174781116,8143.49624709582,3.76026157896516,1,0
siliana,2008,52000.0,49040.0,1.0604,16.482178,922.08563,0.22385496,372.3381,0.2734595247628196,0.3901161435520683,0.2029927990274237,0.4057524653133768,0,14000.0,77300.0,40230.0,45650.0,37445.0,0.18111254851228978,49040.0,1.0,0.4057524653133768,0.2029927990274237,0.20275966628595307,0.1871233445246446,0.01563632176130847,0.3180802331639221,15197.979484902142,6136.9428403818,3.68961729690288,2,1
siliana,2009,20000.0,58400.0,0.3425,16.356567,1389.8201,0.24539648,572.3499,0.2949006579839376,0.50880282138795,0.2372318816669077,0.3694626820483015,0,52000.0,14000.0,77300.0,33000.0,47766.666666666664,3.7142857142857144,49040.0,1.1908646003262642,0.50880282138795,0.2372318816669077,0.2715709397210423,0.2715709397210423,-0.13934013933964845,0.3525995107717742,22732.685583596696,9361.6794867933,4.01384396668416,3,0
siliana,2010,45100.0,59520.0,0.7577,16.60196,1029.5582,0.22320393,473.99622,0.2790314592800742,0.3944413310604464,0.2174257859683551,0.3701449322606162,0,20000.0,52000.0,14000.0,36000.0,28666.666666666668,0.38461538461538464,58400.0,1.0191780821917809,0.3944413310604464,0.2174257859683551,0.17701554509209128,0.17701554509209128,-0.0242963987998302,0.31526087714237294,17092.684054071997,7869.266284591199,3.7056227177027994,4,1
siliana,2011,13800.0,60870.0,0.2267,16.201569,1389.0087,0.24426624,518.13306,0.2794251983638561,0.4821687906573588,0.2497480362515702,0.4619076051702562,0,45100.0,20000.0,52000.0,32550.0,39033.333333333336,2.255,59520.0,1.0226814516129032,0.4821687906573588,0.2497480362515702,0.2324207544057886,0.2324207544057886,-0.020261185487102595,0.36831240761076034,22504.1202946503,8394.56852277114,3.9574963417305598,5,0
